customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Marquese ChrissDAL,7.8,0.813,0.53,0.254,0.015,0.015,0.187,27,0.2
Josh ChristopherHOU,13.3,0.622,0.3,0.188,0.114,0.02,0.378,35,0.217
Gary ClarkNOP,20.1,0.205,0.091,0.102,0.011,0,0.795,0,0.571
Brandon ClarkeMEM,5.4,0.951,0.508,0.311,0.116,0.016,0.049,77,0.682
Jordan ClarksonUTA,16.9,0.464,0.099,0.272,0.075,0.018,0.536,8,0.193
Nic ClaxtonBRK,2.5,1,0.697,0.284,0.019,0,0,88,
Amir CoffeyLAC,16.8,0.455,0.165,0.167,0.077,0.045,0.545,14,0.291
John CollinsATL,11,0.727,0.334,0.211,0.127,0.054,0.273,85,0.318
Zach CollinsSAS,11,0.735,0.29,0.316,0.065,0.065,0.265,6,0.049
Darren CollisonLAL,16.1,0.571,0.286,0,0,0.286,0.429,0,1
Mike ConleyUTA,17.1,0.477,0.075,0.268,0.109,0.025,0.523,0,0.167
Pat ConnaughtonMIL,20.2,0.254,0.161,0.065,0.022,0.006,0.746,8,0.295
Tyler CookCHI,2.2,1,0.684,0.316,0,0,0,14,
Sharife CooperATL,11.6,0.571,0.5,0.071,0,0,0.429,0,0.333
Petr CornelieDEN,15.9,0.467,0.333,0.067,0,0.067,0.533,2,0.375
DeMarcus CousinsTOT,12.1,0.623,0.361,0.225,0.015,0.022,0.377,20,0.049
DeMarcus CousinsMIL,12.2,0.593,0.39,0.186,0.008,0.008,0.407,8,0.125
DeMarcus CousinsDEN,12,0.641,0.345,0.248,0.019,0.029,0.359,12,0
Robert CovingtonTOT,18.8,0.319,0.171,0.108,0.022,0.018,0.681,12,0.198
Robert CovingtonPOR,18.9,0.315,0.164,0.11,0.021,0.021,0.685,6,0.191
Robert CovingtonLAC,18.7,0.327,0.185,0.105,0.025,0.012,0.673,6,0.211
Torrey CraigTOT,16,0.469,0.231,0.141,0.057,0.041,0.531,18,0.41
Torrey CraigIND,15.2,0.509,0.26,0.135,0.057,0.057,0.491,10,0.442
Torrey CraigPHO,17.2,0.4,0.181,0.15,0.056,0.013,0.6,8,0.365
Jae CrowderPHO,20.8,0.329,0.059,0.094,0.079,0.097,0.671,2,0.214
Jarrett CulverMEM,13.5,0.652,0.259,0.193,0.081,0.119,0.348,4,0.191
Jarron CumberlandPOR,15.8,0.5,0.5,0,0,0,0.5,0,0
Cade CunninghamDET,13.8,0.648,0.214,0.249,0.113,0.072,0.352,19,0.143
Seth CurryTOT,19.4,0.494,0.053,0.1,0.133,0.208,0.506,0,0.182
Seth CurryPHI,19.1,0.527,0.055,0.11,0.138,0.223,0.473,0,0.152
Seth CurryBRK,20.2,0.412,0.047,0.076,0.118,0.171,0.588,0,0.242
Stephen CurryGSW,19.8,0.387,0.12,0.134,0.062,0.071,0.613,0,0.091
Anthony DavisLAL,9.6,0.899,0.376,0.193,0.15,0.181,0.101,111,0.1
Ed DavisCLE,2.3,1,0.75,0.25,0,0,0,2,
Terence DavisSAC,16.3,0.442,0.221,0.157,0.034,0.03,0.558,7,0.208
Gabriel DeckOKC,11.9,0.714,0.357,0.071,0.214,0.071,0.286,0,0.5
Dewayne DedmonMIA,8.2,0.838,0.441,0.286,0.069,0.041,0.162,30,0.106
Sam DekkerTOR,,,,,,,,0,
Javin DeLaurierMIL,,,,,,,,0,
DeMar DeRozanCHI,13,0.907,0.164,0.158,0.297,0.288,0.093,33,0.387
Mamadi DiakiteOKC,6.8,0.894,0.426,0.34,0.106,0.021,0.106,10,0.4
Cheick DialloDET,3.1,1,0.375,0.625,0,0,0,1,
Hamidou DialloDET,9.5,0.823,0.333,0.3,0.122,0.068,0.177,51,0.505
Gorgui DiengATL,19.2,0.393,0.134,0.071,0.089,0.098,0.607,2,0.074
Spencer DinwiddieTOT,15.6,0.551,0.176,0.237,0.088,0.05,0.449,3,0.182
Spencer DinwiddieWAS,16.2,0.541,0.152,0.236,0.091,0.061,0.459,1,0.142
Spencer DinwiddieDAL,14.2,0.572,0.222,0.239,0.082,0.029,0.428,2,0.269
Donte DiVincenzoTOT,18.6,0.351,0.155,0.137,0.027,0.033,0.649,2,0.216
Donte DiVincenzoMIL,17.9,0.373,0.212,0.11,0.017,0.034,0.627,2,0.284
Donte DiVincenzoSAC,19,0.339,0.124,0.151,0.032,0.032,0.661,0,0.181
Luka Don?i?DAL,15.9,0.594,0.128,0.239,0.165,0.062,0.406,7,0.049
Luguentz DortOKC,16.4,0.461,0.197,0.204,0.029,0.032,0.539,24,0.143
Ayo DosunmuCHI,12.3,0.652,0.368,0.114,0.097,0.073,0.348,20,0.489
Damyean DotsonNYK,11.3,0.75,0.25,0.25,0.25,0,0.25,0,1
Devon DotsonCHI,12.2,0.609,0.478,0,0.13,0,0.391,0,0.333
Sekou DoumbouyaLAL,8.9,0.75,0.5,0.25,0,0,0.25,0,0
Jeff DowtinTOT,14.8,0.654,0.115,0.231,0.192,0.115,0.346,0,0.556
Jeff DowtinGSW,13.8,0.833,0,0.333,0.167,0.333,0.167,0,1
Jeff DowtinMIL,23.4,0,0,0,0,0,1,0,1
Jeff DowtinORL,14.6,0.632,0.158,0.211,0.211,0.053,0.368,0,0.429
PJ DozierDEN,17.2,0.515,0.141,0.141,0.081,0.152,0.485,4,0.271
Goran Dragi?TOT,15.2,0.583,0.192,0.172,0.166,0.053,0.417,1,0.19
Goran Dragi?TOR,15.3,0.588,0.206,0.147,0.235,0,0.412,1,0.214
Goran Dragi?BRK,15.2,0.581,0.188,0.179,0.145,0.068,0.419,0,0.184
Andre DrummondTOT,2.8,0.993,0.707,0.261,0.021,0.005,0.007,93,0
Andre DrummondPHI,2.7,0.992,0.706,0.265,0.021,0,0.008,48,0
Andre DrummondBRK,3,0.995,0.708,0.256,0.021,0.01,0.005,45,0
Chris DuarteIND,15.5,0.589,0.203,0.135,0.148,0.103,0.411,15,0.282
David Duke Jr.BRK,10.6,0.657,0.463,0.13,0.028,0.037,0.343,10,0.541
Kris DunnPOR,9.1,0.892,0.275,0.412,0.108,0.098,0.108,4,0
Kevin DurantBRK,15.1,0.731,0.109,0.143,0.319,0.161,0.269,34,0.067
Jaime EcheniqueWAS,,,,,,,,0,
Anthony EdwardsMIN,15.2,0.516,0.282,0.129,0.055,0.051,0.484,58,0.086
Carsen EdwardsDET,17.6,0.467,0.233,0.067,0.1,0.067,0.533,0,0.063
Kessler EdwardsBRK,15.4,0.491,0.266,0.116,0.071,0.037,0.509,18,0.456
Rob EdwardsOKC,24.3,0,0,0,0,0,1,0,0.5
CJ EllebyPOR,13.4,0.591,0.312,0.169,0.075,0.036,0.409,10,0.317
Wayne EllingtonLAL,23.4,0.11,0.042,0.025,0.03,0.013,0.89,0,0.28
Joel EmbiidPHI,11.9,0.812,0.253,0.194,0.24,0.124,0.188,74,0.048
James Ennis IIITOT,10.6,0.667,0.542,0.083,0,0.042,0.333,0,0.125
James Ennis IIIBRK,8.3,0.714,0.714,0,0,0,0.286,0,0
James Ennis IIILAC,12.3,0.636,0.455,0.091,0,0.091,0.364,0,0
James Ennis IIIDEN,10,0.667,0.5,0.167,0,0,0.333,0,0.5
Drew EubanksTOT,6.2,0.938,0.442,0.364,0.094,0.038,0.062,77,0.174
Drew EubanksSAS,5.7,0.95,0.453,0.384,0.069,0.044,0.05,31,0.25
