PLAYER_clean,PLAYER,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
Nick Bonino,233. Nick Bonino,33,"C, LW",Left,80,16,10,26,0.33,-25,137,0.12,16:41,15.89,137,211,181,0.71,6.15,9.48,8.13,568,664,46.1,1026,1383,42.59,788,973,44.75,53.2,65.78,44.71,Standard (1-way),"$2,050,000","$2,050,000"
Maxime Comtois,234. Maxime Comtois,22,LW,Left,52,6,10,16,0.31,-17,72,0.08,14:08,8.75,72,130,110,0.71,5.88,10.61,8.98,362,364,49.86,700,674,50.95,514,504,50.49,34.47,35.02,49.61,Standard (1-way),"$2,037,500","$1,525,000"
Yegor Sharangovich,235. Yegor Sharangovich,23,"LW, RW, C",Left,76,24,22,46,0.61,-14,168,0.14,16:30,18,168,294,238,0.86,8.03,14.06,11.38,660,665,49.81,1224,1147,51.62,914,907,50.19,61.75,63.37,49.35,Standard (1-way),"$2,000,000","$1,800,000"
Zachary Sanford,236. Zachary Sanford,26,"LW, RW",Left,80,9,12,21,0.26,-15,104,0.09,14:18,14.28,104,209,167,0.75,5.45,10.96,8.76,516,623,45.3,996,1120,47.07,754,830,47.6,52.54,55.48,48.64,Standard (1-way),"$2,000,000","$2,000,000"
Tyson Jost,237. Tyson Jost,23,C,Left,80,8,12,20,0.25,2,97,0.08,12:49,8.13,97,157,118,0.48,5.67,9.18,6.9,439,607,41.97,785,1086,41.96,575,815,41.37,34.29,54.77,38.51,Standard (1-way),"$2,000,000","$1,750,000"
Mattias Janmark,238. Mattias Janmark,28,LW,Left,67,9,16,25,0.37,3,89,0.1,14:20,12.04,89,144,122,0.75,5.56,8.99,7.62,465,513,47.55,844,974,46.42,625,708,46.89,46.52,48.86,48.77,Standard (1-way),"$2,000,000","$2,000,000"
Vladislav Namestnikov,239. Vladislav Namestnikov,28,"LW, RW, C",Left,75,16,14,30,0.4,2,91,0.18,14:38,13.78,91,153,123,0.75,4.97,8.36,6.72,480,581,45.24,816,1056,43.59,633,790,44.48,46.54,56.38,45.22,Standard (1-way),"$2,000,000","$2,500,000"
Jesper Fast,240. Jesper Fast,29,RW,Right,82,14,20,34,0.41,24,97,0.14,14:48,15.39,97,171,142,0.76,4.79,8.44,7.02,630,520,54.78,1165,942,55.29,898,730,55.16,67.08,50.52,57.04,Standard (1-way),"$2,000,000","$2,000,000"
Rocco Grimaldi,241. Rocco Grimaldi,28,"LW, RW",Right,7,0,0,0,0,0,8,0,10:55,0.62,8,13,10,0.49,6.27,10.19,7.84,51,41,55.43,78,75,50.98,61,58,51.26,3.36,3.44,49.41,Standard (1-way),"$2,000,000","$2,000,000"
Adrian Kempe,242. Adrian Kempe,24,"LW, RW",Left,78,35,19,54,0.69,-2,247,0.14,18:35,29.66,247,443,331,1.23,10.22,18.34,13.7,907,700,56.44,1626,1233,56.87,1227,942,56.57,92.13,78.7,53.93,Standard (1-way),"$2,000,000","$2,500,000"
Calle Järnkrok,243. Calle Järnkrok,29,"LW, RW",Right,66,12,18,30,0.45,-14,101,0.12,16:02,11.62,101,175,142,0.66,5.73,9.92,8.05,539,509,51.43,1012,919,52.41,773,713,52.02,49.17,54.59,47.39,Standard (1-way),"$2,000,000","$2,000,000"
Trevor Moore,244. Trevor Moore,26,"LW, RW",Left,81,17,31,48,0.59,20,202,0.08,15:41,26.1,202,341,285,1.23,9.53,16.1,13.46,774,590,56.74,1361,1106,55.17,1059,815,56.51,76.98,57.72,57.15,Standard (1-way),"$1,875,000","$1,500,000"
Jack Roslovic,245. Jack Roslovic,24,"C, RW",Right,81,22,23,45,0.56,2,131,0.17,14:16,11.92,131,219,182,0.62,6.79,11.36,9.44,601,659,47.7,1101,1091,50.23,841,864,49.33,52.54,56.35,48.25,Standard (1-way),"$1,838,362","$2,500,000"
Janne Kuokkanen,246. Janne Kuokkanen,23,"LW, C",Left,57,6,11,17,0.3,-10,64,0.09,13:29,6.14,64,109,89,0.48,4.99,8.5,6.94,344,412,45.5,651,742,46.73,488,564,46.39,27.02,37.39,41.95,Standard (1-way),"$1,825,000","$1,600,000"
Jordan Martinook,247. Jordan Martinook,28,"LW, RW",Left,59,6,9,15,0.25,1,77,0.08,11:12,8.34,77,152,121,0.76,6.99,13.8,10.99,348,299,53.79,692,513,57.43,515,414,55.44,28.3,27.35,50.85,Standard (1-way),"$1,800,000","$900,000"
Tomas Nosek,248. Tomas Nosek,28,"C, LW",Left,75,3,14,17,0.23,-9,84,0.04,13:20,9.89,84,156,128,0.59,5.03,9.35,7.67,454,506,47.29,773,978,44.15,603,714,45.79,38.72,44.22,46.68,Standard (1-way),"$1,750,000","$1,500,000"
Tyler Pitlick,249. Tyler Pitlick,29,RW,Right,39,1,4,5,0.13,-11,36,0.03,10:56,3.97,36,77,54,0.56,5.05,10.83,7.59,209,227,47.94,366,435,45.69,280,312,47.3,19.19,18.87,50.42,Standard (1-way),"$1,750,000","$2,200,000"
Ryan Reaves,250. Ryan Reaves,34,RW,Right,69,5,8,13,0.19,-13,44,0.11,10:38,4.7,44,73,59,0.38,3.59,5.96,4.82,246,390,38.68,442,700,38.7,330,524,38.64,19.39,30.2,39.1,Standard (1-way),"$1,750,000","$2,125,000"
Zach Aston-Reese,251. Zach Aston-Reese,26,"LW, RW",Left,69,5,10,15,0.22,9,78,0.06,13:01,7.73,78,130,102,0.52,5.2,8.67,6.8,380,466,44.92,657,873,42.94,502,655,43.39,29.17,40.54,41.84,Standard (1-way),"$1,725,000","$1,725,000"
