PLAYER,PLAYER_clean,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
204. Jacob MacDonald,Jacob MacDonald,29,LD/RD,Left,8,0,0,0,0,-1,17,0,10:05:00,1.3,17,26,22,0.97,12.63,19.32,16.35,62,45,57.94,105,74,58.66,79,57,58.09,4.86,2.84,63.12,Standard (2-way),"$762,500","$750,000"
205. Nick DeSimone,Nick DeSimone,27,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
206. Colton White,Colton White,25,LD,Left,27,0,4,4,0.15,2,18,0,13:15:00,0.84,18,45,30,0.14,3.02,7.55,5.03,162,206,44.02,304,363,45.58,233,285,44.98,14.47,15.84,47.74,Standard (2-way),"$762,500","$750,000"
207. Vincent Desharnais,Vincent Desharnais,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
208. Darren Raddysh,Darren Raddysh,26,RD,Right,4,0,0,0,0,1,2,0,10:40:00,0.04,2,5,3,0.06,2.81,7.03,4.22,17,18,48.57,40,37,51.95,29,24,54.72,1.41,1.12,55.73,Standard (2-way),"$762,500","$750,000"
209. Jordan Gross,Jordan Gross,27,RD,Right,1,0,0,0,0,0,0,0,8:19:00,0,0,0,0,0,0,0,0,2,2,50,6,2,75,6,2,75,0.27,0.09,75,Standard (2-way),"$762,500","$750,000"
210. Dennis Cholowski,Dennis Cholowski,24,LD,Left,11,0,3,3,0.27,-3,11,0,15:49:00,0.5,11,33,20,0.17,3.79,11.38,6.9,76,93,44.97,158,170,48.17,115,134,46.18,6.82,7.55,47.46,Standard (2-way),"$762,500","$750,000"
211. Taylor Fedun,Taylor Fedun,34,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
212. Roland McKeown,Roland McKeown,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
213. Paul LaDue,Paul LaDue,29,RD,Right,1,0,0,0,0,-2,1,0,12:47:00,0,1,2,1,0,4.69,9.39,4.69,3,5,37.5,9,11,45,4,6,40,0.26,0.7,27.08,Standard (2-way),"$762,500","$750,000"
214. Billy Sweezey,Billy Sweezey,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
215. Calle Rosén,Calle Rosén,28,LD,Left,18,2,5,7,0.39,-2,18,0.11,14:19:00,0.97,18,39,25,0.23,4.19,9.07,5.82,134,131,50.57,243,237,50.62,190,188,50.26,14.64,10.69,57.8,Standard (2-way),"$762,500","$750,000"
216. Dillon Heatherington,Dillon Heatherington,27,LD,Left,9,0,0,0,0,-1,4,0,12:20:00,0.43,4,9,6,0.23,2.16,4.86,3.24,42,72,36.84,72,122,37.11,61,97,38.61,4.46,5.48,44.87,Standard (2-way),"$762,500","$750,000"
217. Kevin Connauton,Kevin Connauton,32,LD/RD,Left,39,1,2,3,0.08,-3,30,0.03,13:04:00,1.32,30,67,39,0.16,3.53,7.88,4.59,265,340,43.8,463,556,45.44,344,439,43.93,20.77,26.12,44.3,Standard (2-way),"$762,500","$750,000"
218. Kevin Gravel,Kevin Gravel,30,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
219. Markus Niemeläinen,Markus Niemeläinen,24,LD,Left,20,0,1,1,0.05,-5,12,0,13:11:00,0.24,12,26,15,0.05,2.73,5.91,3.41,105,152,40.86,208,253,45.12,146,204,41.71,10.27,14.37,41.68,Standard (2-way),"$762,500","$750,000"
220. Chris Wideman,Chris Wideman,32,RD,Right,64,4,23,27,0.42,-25,76,0.05,14:52:00,3.11,76,148,100,0.2,4.79,9.32,6.3,521,431,54.73,973,767,55.92,725,587,55.26,49.93,46.7,51.67,Standard (1-way),"$762,500","$750,000"
221. Lucas Johansen,Lucas Johansen,24,LD,Left,1,0,1,1,1,1,0,0,12:18:00,0.04,0,1,1,0.2,0,4.88,4.88,7,1,87.5,9,2,81.81,8,1,88.89,0.76,0.05,93.83,Standard (2-way),"$762,500","$750,000"
222. Kyle Capobianco,Kyle Capobianco,24,LD,Left,45,2,7,9,0.2,-12,40,0.05,16:00:00,2.45,40,85,62,0.2,3.33,7.08,5.17,317,405,43.91,584,697,45.59,451,554,44.88,28.78,37.97,43.12,Standard (2-way),"$762,500","$750,000"
223. Jacob Moverare,Jacob Moverare,23,LD,Left,19,0,2,2,0.11,3,15,0,16:20:00,0.3,15,28,17,0.06,2.9,5.41,3.29,150,145,50.85,272,269,50.28,198,200,49.75,12.08,15.38,43.99,Standard (2-way),"$762,500","$750,000"
224. Xavier Ouellet,Xavier Ouellet,28,LD/RD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
225. Haydn Fleury,Haydn Fleury,25,LD/RD,Left,36,2,2,4,0.11,0,52,0.04,16:16:00,1.83,52,105,73,0.19,5.32,10.75,7.47,252,282,47.19,454,547,45.35,340,395,46.26,19.21,23.74,44.73,Standard (1-way),"$762,500","$750,000"
226. Brady Keeper,Brady Keeper,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$762,500","$775,000"
227. Jalen Chatfield,Jalen Chatfield,26,RD,Right,16,0,3,3,0.19,1,25,0,14:47:00,1.09,25,51,36,0.28,6.34,12.93,9.13,130,96,57.52,233,169,57.96,175,131,57.19,11.12,7.99,58.19,Standard (2-way),"$762,500","$750,000"
228. Daniil Miromanov,Daniil Miromanov,24,RD,Right,11,0,1,1,0.09,0,15,0,9:47:00,0.61,15,32,21,0.34,8.36,17.84,11.71,57,57,50,106,108,49.53,77,79,49.36,6.12,4.94,55.33,Standard (2-way),"$762,500","$750,000"
